Feedback ID,Feedback Text,Rating,Source,Brand,Product,Category,Date
F0033,Card keeps getting ejected from my phone slot. Compatibility issues with newer Samsung models.,2,Amazon,PNY,MicroSD,Electronics,2024-05-27
F0034,Excellent storage solution. 256GB gives me plenty of space for all my photos and videos.,5,Amazon,SanDisk,256GB Ultra,Electronics,2024-11-20
F0035,Amazing app! Super easy to navigate. The new update improved everything significantly.,5,Google Play,MobileApp,Task Manager,Apps,2024-06-19
F0036,App installs perfectly and runs smoothly. Reviews and ratings feature is very useful.,4,Google Play,DevCo,Note App,Apps,2024-04-23
F0037,Interface is intuitive and clean. Love the dashboard layout. Very user friendly design.,5,Google Play,AppStudio,Planner App,Apps,2024-02-02
F0038,App size is reasonable. Installs quickly. Feature set is decent for everyday tasks.,4,Google Play,TechApps,Calendar Pro,Apps,2024-11-08
F0039,Navigation is confusing. Cannot find basic settings. Buttons do not respond sometimes.,2,Google Play,AppCo,Fitness Tracker,Apps,2024-05-03
F0040,Crashes frequently on startup. Lost all my data twice. Support team never responded.,1,Google Play,DevTeam,Budget App,Apps,2024-04-28
F0041,Good app overall. Some features need polish but works well for daily use. Reasonable size.,4,Google Play,AppWorks,Habit Tracker,Apps,2024-02-13
F0042,Notification system is broken. App keeps running in background draining battery life.,2,Google Play,MobileDev,Reminder App,Apps,2024-05-15
F0043,This deodorant smells absolutely amazing. Natural fresh scent lasts all day. No irritation.,5,Amazon,Schmidts,Rose Bergamot,Beauty,2024-11-27
F0044,Love the natural ingredients. Gentle on sensitive skin. Scent is subtle and pleasant.,5,Amazon,Schmidts,Fragrance Free,Beauty,2024-06-06
F0045,Skin reacted badly to this product. Caused rash after two days of use. Very irritating.,1,Amazon,Schmidts,Charcoal Magnesium,Beauty,2024-06-12
F0046,Natural deodorant that actually works. No bad odor throughout the day. Score.,5,Amazon,SheaMoisture,Coconut Hibiscus,Beauty,2024-04-22
F0047,Packaging leaking when arrived. Seal was broken. Product spilled inside the box.,2,Amazon,Schmidts,Lavender Sage,Beauty,2024-05-23
F0048,Lovely scent but does not last more than 3 hours. Need to reapply several times daily.,3,Amazon,NativeCo,Coconut Vanilla,Beauty,2024-11-21
F0049,Best gelato I have ever tasted. Creamy rich texture. The pistachio flavour is outstanding.,5,Amazon,Talenti,Pistachio Gelato,Food,2024-02-20
F0050,Too sweet for my taste. Would prefer less sugar. But texture is very creamy and smooth.,3,Amazon,Talenti,Sea Salt Caramel,Food,2024-11-06
F0051,Delicious ice cream. Perfect consistency. Fresh ingredients. Definitely buying again.,5,Amazon,Talenti,Mediterranean Mint,Food,2024-09-24
F0052,Price is way too high for the small container size. Taste is good but not worth it.,2,Amazon,Talenti,Roman Raspberry,Food,2024-04-06
F0053,This SanDisk memory card works perfectly with my phone. Fast transfer speeds and reliable storage.,5,Amazon,SanDisk,128GB MicroSD,Electronics,2024-08-13
F0054,Memory card stopped working after 2 months. Lost all my photos. Very disappointed.,1,Amazon,SanDisk,64GB MicroSD,Electronics,2024-05-21
F0055,Great capacity for the price. Easy to install in my Samsung Galaxy. Highly recommend.,5,Amazon,SanDisk,256GB MicroSD,Electronics,2024-12-18
F0056,The card is not compatible with my Samsung Galaxy S21. Tried everything. Does not read.,2,Amazon,Samsung,MicroSD Card,Electronics,2024-04-22
F0057,Storage card corrupted after firmware update on my Galaxy phone. Lost important data.,1,Amazon,Samsung,128GB EVO,Electronics,2024-06-27
F0058,Perfect memory card. Works flawlessly. Fast read and write speeds for video recording.,5,Amazon,Lexar,256GB Card,Electronics,2024-01-08
F0059,Card keeps getting ejected from my phone slot. Compatibility issues with newer Samsung models.,2,Amazon,PNY,MicroSD,Electronics,2024-01-26
F0060,Excellent storage solution. 256GB gives me plenty of space for all my photos and videos.,5,Amazon,SanDisk,256GB Ultra,Electronics,2024-06-13
F0061,Amazing app! Super easy to navigate. The new update improved everything significantly.,5,Google Play,MobileApp,Task Manager,Apps,2024-05-03
F0062,App installs perfectly and runs smoothly. Reviews and ratings feature is very useful.,4,Google Play,DevCo,Note App,Apps,2024-04-19
F0063,Interface is intuitive and clean. Love the dashboard layout. Very user friendly design.,5,Google Play,AppStudio,Planner App,Apps,2024-12-11
F0064,App size is reasonable. Installs quickly. Feature set is decent for everyday tasks.,4,Google Play,TechApps,Calendar Pro,Apps,2024-04-21
F0065,Navigation is confusing. Cannot find basic settings. Buttons do not respond sometimes.,2,Google Play,AppCo,Fitness Tracker,Apps,2024-08-13
F0066,Crashes frequently on startup. Lost all my data twice. Support team never responded.,1,Google Play,DevTeam,Budget App,Apps,2024-11-15
F0067,Good app overall. Some features need polish but works well for daily use. Reasonable size.,4,Google Play,AppWorks,Habit Tracker,Apps,2024-03-09
F0068,Notification system is broken. App keeps running in background draining battery life.,2,Google Play,MobileDev,Reminder App,Apps,2024-03-08
F0069,This deodorant smells absolutely amazing. Natural fresh scent lasts all day. No irritation.,5,Amazon,Schmidts,Rose Bergamot,Beauty,2024-12-18
F0070,Love the natural ingredients. Gentle on sensitive skin. Scent is subtle and pleasant.,5,Amazon,Schmidts,Fragrance Free,Beauty,2024-09-09
F0071,Skin reacted badly to this product. Caused rash after two days of use. Very irritating.,1,Amazon,Schmidts,Charcoal Magnesium,Beauty,2024-12-19
F0072,Natural deodorant that actually works. No bad odor throughout the day. Score.,5,Amazon,SheaMoisture,Coconut Hibiscus,Beauty,2024-07-19
F0073,Packaging leaking when arrived. Seal was broken. Product spilled inside the box.,2,Amazon,Schmidts,Lavender Sage,Beauty,2024-07-12
F0074,Lovely scent but does not last more than 3 hours. Need to reapply several times daily.,3,Amazon,NativeCo,Coconut Vanilla,Beauty,2024-04-05
F0075,Best gelato I have ever tasted. Creamy rich texture. The pistachio flavour is outstanding.,5,Amazon,Talenti,Pistachio Gelato,Food,2024-09-16
F0076,Too sweet for my taste. Would prefer less sugar. But texture is very creamy and smooth.,3,Amazon,Talenti,Sea Salt Caramel,Food,2024-02-25
F0077,Delicious ice cream. Perfect consistency. Fresh ingredients. Definitely buying again.,5,Amazon,Talenti,Mediterranean Mint,Food,2024-01-28
F0078,Price is way too high for the small container size. Taste is good but not worth it.,2,Amazon,Talenti,Roman Raspberry,Food,2024-02-05
F0079,This SanDisk memory card works perfectly with my phone. Fast transfer speeds and reliable storage.,5,Amazon,SanDisk,128GB MicroSD,Electronics,2024-11-06
F0080,Memory card stopped working after 2 months. Lost all my photos. Very disappointed.,1,Amazon,SanDisk,64GB MicroSD,Electronics,2024-11-14
F0081,Great capacity for the price. Easy to install in my Samsung Galaxy. Highly recommend.,5,Amazon,SanDisk,256GB MicroSD,Electronics,2024-10-03
F0082,The card is not compatible with my Samsung Galaxy S21. Tried everything. Does not read.,2,Amazon,Samsung,MicroSD Card,Electronics,2024-07-13
F0083,Storage card corrupted after firmware update on my Galaxy phone. Lost important data.,1,Amazon,Samsung,128GB EVO,Electronics,2024-10-15
F0084,Perfect memory card. Works flawlessly. Fast read and write speeds for video recording.,5,Amazon,Lexar,256GB Card,Electronics,2024-09-09
F0085,Card keeps getting ejected from my phone slot. Compatibility issues with newer Samsung models.,2,Amazon,PNY,MicroSD,Electronics,2024-09-28
F0086,Excellent storage solution. 256GB gives me plenty of space for all my photos and videos.,5,Amazon,SanDisk,256GB Ultra,Electronics,2024-01-22
F0087,Amazing app! Super easy to navigate. The new update improved everything significantly.,5,Google Play,MobileApp,Task Manager,Apps,2024-12-04
F0088,App installs perfectly and runs smoothly. Reviews and ratings feature is very useful.,4,Google Play,DevCo,Note App,Apps,2024-11-18
F0089,Interface is intuitive and clean. Love the dashboard layout. Very user friendly design.,5,Google Play,AppStudio,Planner App,Apps,2024-05-25
F0090,App size is reasonable. Installs quickly. Feature set is decent for everyday tasks.,4,Google Play,TechApps,Calendar Pro,Apps,2024-11-11
F0091,Navigation is confusing. Cannot find basic settings. Buttons do not respond sometimes.,2,Google Play,AppCo,Fitness Tracker,Apps,2024-02-10
F0092,Crashes frequently on startup. Lost all my data twice. Support team never responded.,1,Google Play,DevTeam,Budget App,Apps,2024-07-06
F0093,Good app overall. Some features need polish but works well for daily use. Reasonable size.,4,Google Play,AppWorks,Habit Tracker,Apps,2024-08-01
F0094,Notification system is broken. App keeps running in background draining battery life.,2,Google Play,MobileDev,Reminder App,Apps,2024-12-24
F0095,This deodorant smells absolutely amazing. Natural fresh scent lasts all day. No irritation.,5,Amazon,Schmidts,Rose Bergamot,Beauty,2024-05-17
F0096,Love the natural ingredients. Gentle on sensitive skin. Scent is subtle and pleasant.,5,Amazon,Schmidts,Fragrance Free,Beauty,2024-03-17
F0097,Skin reacted badly to this product. Caused rash after two days of use. Very irritating.,1,Amazon,Schmidts,Charcoal Magnesium,Beauty,2024-02-28
F0098,Natural deodorant that actually works. No bad odor throughout the day. Score.,5,Amazon,SheaMoisture,Coconut Hibiscus,Beauty,2024-11-10
F0099,Packaging leaking when arrived. Seal was broken. Product spilled inside the box.,2,Amazon,Schmidts,Lavender Sage,Beauty,2024-11-17
F0100,Lovely scent but does not last more than 3 hours. Need to reapply several times daily.,3,Amazon,NativeCo,Coconut Vanilla,Beauty,2024-10-07
F0101,Best gelato I have ever tasted. Creamy rich texture. The pistachio flavour is outstanding.,5,Amazon,Talenti,Pistachio Gelato,Food,2024-03-12
F0102,Too sweet for my taste. Would prefer less sugar. But texture is very creamy and smooth.,3,Amazon,Talenti,Sea Salt Caramel,Food,2024-03-18
F0103,Delicious ice cream. Perfect consistency. Fresh ingredients. Definitely buying again.,5,Amazon,Talenti,Mediterranean Mint,Food,2024-09-01
F0104,Price is way too high for the small container size. Taste is good but not worth it.,2,Amazon,Talenti,Roman Raspberry,Food,2024-10-11
F0105,This SanDisk memory card works perfectly with my phone. Fast transfer speeds and reliable storage.,5,Amazon,SanDisk,128GB MicroSD,Electronics,2024-08-01
F0106,Memory card stopped working after 2 months. Lost all my photos. Very disappointed.,1,Amazon,SanDisk,64GB MicroSD,Electronics,2024-02-12
F0107,Great capacity for the price. Easy to install in my Samsung Galaxy. Highly recommend.,5,Amazon,SanDisk,256GB MicroSD,Electronics,2024-05-08
F0108,The card is not compatible with my Samsung Galaxy S21. Tried everything. Does not read.,2,Amazon,Samsung,MicroSD Card,Electronics,2024-01-08
F0109,Storage card corrupted after firmware update on my Galaxy phone. Lost important data.,1,Amazon,Samsung,128GB EVO,Electronics,2024-10-03
F0110,Perfect memory card. Works flawlessly. Fast read and write speeds for video recording.,5,Amazon,Lexar,256GB Card,Electronics,2024-02-24
F0111,Card keeps getting ejected from my phone slot. Compatibility issues with newer Samsung models.,2,Amazon,PNY,MicroSD,Electronics,2024-08-27
F0112,Excellent storage solution. 256GB gives me plenty of space for all my photos and videos.,5,Amazon,SanDisk,256GB Ultra,Electronics,2024-02-25
F0113,Amazing app! Super easy to navigate. The new update improved everything significantly.,5,Google Play,MobileApp,Task Manager,Apps,2024-09-25
F0114,App installs perfectly and runs smoothly. Reviews and ratings feature is very useful.,4,Google Play,DevCo,Note App,Apps,2024-03-05
F0115,Interface is intuitive and clean. Love the dashboard layout. Very user friendly design.,5,Google Play,AppStudio,Planner App,Apps,2024-11-16
F0116,App size is reasonable. Installs quickly. Feature set is decent for everyday tasks.,4,Google Play,TechApps,Calendar Pro,Apps,2024-09-06
F0117,Navigation is confusing. Cannot find basic settings. Buttons do not respond sometimes.,2,Google Play,AppCo,Fitness Tracker,Apps,2024-05-17
F0118,Crashes frequently on startup. Lost all my data twice. Support team never responded.,1,Google Play,DevTeam,Budget App,Apps,2024-10-14
F0119,Good app overall. Some features need polish but works well for daily use. Reasonable size.,4,Google Play,AppWorks,Habit Tracker,Apps,2024-04-18
F0120,Notification system is broken. App keeps running in background draining battery life.,2,Google Play,MobileDev,Reminder App,Apps,2024-12-23
